representative_id,repeat,wp,representative_type,component,density_kg_m3,enthalpy_J_kg,entropy_J_kgK,fluid,phase,pressure_Pa,quality,state,temperature_K
S5_DCC_compromise,1,DC-C,compromise,HP,655.5538315519581,113534.22172316293,322.62797710015576,Cyclopentane,liquid,630560.9357601292,-1.0,3,376.71160893530623
S5_DCC_compromise,1,DC-C,compromise,HP,8.768676953223888,42855.98764176191,142.73422113264715,Cyclopentane,twophase,57577.58566531326,0.18338178218283777,4,306.1977600051955
S5_DCC_compromise,1,DC-C,compromise,HE,1452.0882923026265,220843.6729757361,1073.8195964731872,R236ea,liquid,171381.20307150713,-1.0,1,289.98735087255943
S5_DCC_compromise,1,DC-C,compromise,HE,1453.3020720890663,222224.2241294709,1076.0052451966344,R236ea,liquid,1254770.3944956388,-1.0,2,290.8681470726824
S5_DCC_compromise,1,DC-C,compromise,HE,83.32207896840085,433029.77781270404,1686.2657763003683,R236ea,gas,1254770.3944956388,-1.0,3,365.4883577919156
S5_DCC_compromise,1,DC-C,compromise,HE,10.384364407788572,404083.0586564273,1696.527362156207,R236ea,gas,171381.20307150713,-1.0,4,316.6696245559984
S5_DCC_compromise,2,DC-C,compromise,HP,1.5814805710995428,380031.45030789205,1243.5140872582144,Cyclopentane,gas,57577.58566531326,-1.0,1,313.83059255155166
S5_DCC_compromise,2,DC-C,compromise,HP,13.119108503999309,571722.8954575668,1479.7064191619372,Cyclopentane,gas,630560.9357601292,-1.0,2,442.18074424869945
S5_DCC_compromise,2,DC-C,compromise,HP,655.5538315519581,113534.22172316293,322.62797710015576,Cyclopentane,liquid,630560.9357601292,-1.0,3,376.71160893530623
S5_DCC_compromise,2,DC-C,compromise,HP,8.768676953223888,42855.98764176191,142.73422113264715,Cyclopentane,twophase,57577.58566531326,0.18338178218283777,4,306.1977600051955
S5_DCC_compromise,2,DC-C,compromise,HE,1452.0882923026265,220843.6729757361,1073.8195964731872,R236ea,liquid,171381.20307150713,-1.0,1,289.98735087255943
S5_DCC_compromise,2,DC-C,compromise,HE,1453.3020720890663,222224.2241294709,1076.0052451966344,R236ea,liquid,1254770.3944956388,-1.0,2,290.8681470726824
S5_DCC_compromise,2,DC-C,compromise,HE,83.32207896840085,433029.77781270404,1686.2657763003683,R236ea,gas,1254770.3944956388,-1.0,3,365.4883577919156
S5_DCC_compromise,2,DC-C,compromise,HE,10.384364407788572,404083.0586564273,1696.527362156207,R236ea,gas,171381.20307150713,-1.0,4,316.6696245559984
S5_DCC_density,1,DC-C,density,HP,1.8244723808454115,385203.8171524374,1242.0429313477703,Cyclopentane,gas,67162.23018535651,-1.0,1,318.1500009429232
S5_DCC_density,1,DC-C,density,HP,9.481849523404428,521029.145825222,1402.6791621779669,Cyclopentane,gas,431357.74536073033,-1.0,2,412.7216651162934
S5_DCC_density,1,DC-C,density,HP,675.0563915484554,76836.83934969128,223.81781437906415,Cyclopentane,liquid,431357.74536073033,-1.0,3,360.01616626679385
S5_DCC_density,1,DC-C,density,HP,13.797482083710033,30352.82861888803,99.31825660374454,Cyclopentane,twophase,67162.23018535651,0.13357477036461393,4,310.42328852547604
S5_DCC_density,1,DC-C,density,HE,1451.5844132862453,221046.66736429225,1074.5170018868405,R236ea,liquid,172395.94162145775,-1.0,1,290.14998028283446
S5_DCC_density,1,DC-C,density,HE,1451.8441960966345,221371.723486801,1075.0475114739963,R236ea,liquid,420745.5319015766,-1.0,2,290.3590647914864
S5_DCC_density,1,DC-C,density,HE,26.85679867976301,405578.88193038775,1655.8054448676712,R236ea,gas,420745.5319015766,-1.0,3,323.42719744956565
S5_DCC_density,1,DC-C,density,HE,10.964198323611958,392980.13806085,1660.4589954140013,R236ea,gas,172395.94162145775,-1.0,4,304.316207351392
S5_DCC_density,2,DC-C,density,HP,1.8244723808454115,385203.8171524374,1242.0429313477703,Cyclopentane,gas,67162.23018535651,-1.0,1,318.1500009429232
S5_DCC_density,2,DC-C,density,HP,9.481849523404428,521029.145825222,1402.6791621779669,Cyclopentane,gas,431357.74536073033,-1.0,2,412.7216651162934
S5_DCC_density,2,DC-C,density,HP,675.0563915484554,76836.83934969128,223.81781437906415,Cyclopentane,liquid,431357.74536073033,-1.0,3,360.01616626679385
S5_DCC_density,2,DC-C,density,HP,13.797482083710033,30352.82861888803,99.31825660374454,Cyclopentane,twophase,67162.23018535651,0.13357477036461393,4,310.42328852547604
S5_DCC_density,2,DC-C,density,HE,1451.5844132862453,221046.66736429225,1074.5170018868405,R236ea,liquid,172395.94162145775,-1.0,1,290.14998028283446
S5_DCC_density,2,DC-C,density,HE,1451.8441960966345,221371.723486801,1075.0475114739963,R236ea,liquid,420745.5319015766,-1.0,2,290.3590647914864
S5_DCC_density,2,DC-C,density,HE,26.85679867976301,405578.88193038775,1655.8054448676712,R236ea,gas,420745.5319015766,-1.0,3,323.42719744956565
S5_DCC_density,2,DC-C,density,HE,10.964198323611958,392980.13806085,1660.4589954140013,R236ea,gas,172395.94162145775,-1.0,4,304.316207351392
S5_DCC_efficiency,1,DC-C,efficiency,HP,2.1648818005648547,384663.83379354223,1221.1260686022845,Cyclopentane,gas,79327.81872750992,-1.0,1,318.1500008127832
S5_DCC_efficiency,1,DC-C,efficiency,HP,5.303828405221486,444088.18153730937,1281.1557444463356,Cyclopentane,gas,216515.73962075452,-1.0,2,363.27045718605456
