T_st_ht,dT_st_sp,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,eta_p2p,energy_density_thermal,exergy_efficiency,wp,cb_config,fluid_hp,fluid_he,label,orc_type,hp_type
99.758119,59.999400,7.084774,5.947676,2.969963,14.987559,0.893972,0.899720,0.539752,0.358860,34.066458,0.207834,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
112.119997,59.995077,15.474171,3.799197,2.431897,14.717004,0.897608,0.899646,0.547802,0.384601,33.879481,0.309497,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
97.179647,59.999695,15.338711,3.996825,1.216667,14.649857,0.893970,0.898768,0.549159,0.300783,34.103824,0.231372,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
84.510820,59.999902,15.425588,6.089045,2.980613,14.349119,0.898689,0.899709,0.547092,0.101152,34.278852,0.074182,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
92.813120,60.000000,3.965641,6.069660,1.199619,14.243739,0.899985,0.899716,0.540079,0.290280,34.165799,0.116957,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
85.669247,59.999678,15.107493,6.495394,2.967706,13.685783,0.899094,0.899717,0.549380,0.129258,34.263293,0.094604,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
86.654633,59.999678,5.490617,6.019557,2.967791,14.349119,0.898690,0.899753,0.546819,0.173864,34.250078,0.079464,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
87.578358,59.999678,9.044042,6.439874,1.009708,14.657469,0.898058,0.899614,0.546939,0.186429,34.237615,0.111748,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
88.569058,59.999124,2.846132,4.213384,2.453635,13.697766,0.898692,0.899717,0.546335,0.222087,34.223850,0.067480,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
85.895004,59.999678,4.489893,6.073539,2.966964,14.196033,0.899908,0.899624,0.547778,0.155121,34.260273,0.062752,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
96.612372,59.999676,8.459608,6.483999,2.936087,14.342207,0.898057,0.898872,0.547053,0.323868,34.111928,0.199379,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
84.732734,59.999684,15.473883,6.122774,2.420352,14.922547,0.899845,0.899629,0.549923,0.106578,34.275780,0.078267,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
82.695021,60.000000,0.227940,3.972787,2.484193,14.649857,0.898852,0.899689,0.547251,0.062226,34.302869,0.001883,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
83.279322,60.000000,6.207093,3.956462,2.946726,14.649857,0.898852,0.899689,0.549159,0.079714,34.295188,0.037788,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
100.660132,59.999181,14.830723,3.536811,2.448547,14.333115,0.893182,0.899594,0.548952,0.329946,34.053204,0.254361,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
82.023339,59.999684,0.558916,6.122774,2.420352,14.929756,0.898584,0.899629,0.549923,0.036199,34.311481,0.002647,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
96.847589,59.995952,4.587949,4.260274,2.929527,14.325367,0.898694,0.899598,0.547736,0.344969,34.106432,0.154674,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
81.975519,59.999070,17.922347,3.474011,2.502123,14.343754,0.898554,0.898591,0.546294,0.028400,34.311753,0.021685,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
94.617976,60.000000,6.595190,6.054881,2.777025,14.950010,0.898656,0.899695,0.546765,0.310718,34.140441,0.167313,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
81.975519,59.999048,8.926972,3.474011,2.453980,14.347750,0.899095,0.898591,0.549459,0.032737,34.311740,0.018760,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
85.835093,59.999678,15.437365,6.073539,2.962941,14.359321,0.898681,0.899695,0.549842,0.132437,34.261075,0.097698,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
111.689870,59.959793,6.480470,6.031481,2.368556,14.718682,0.899219,0.899695,0.547717,0.427973,33.865933,0.255038,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
88.569058,59.999714,2.846132,4.213384,2.944477,13.535825,0.898692,0.899717,0.546335,0.221763,34.224189,0.067398,DC-A,SRVCHP_SBORC,R245fa,R227ea,Air-cooled (Winter),SBORC,SRVCHP
