wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.46367147092927935,31.799846887868373,0.326563423807638,118.73865187678555,56.51505604756538,,,,,
DC-A,SRVCHP_SRORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SRORC_R245fa_R227ea.csv,0.467523324902489,30.583768368570773,0.2837897070712258,115.16759510376917,54.28472056731971,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.4722148249153855,19.04511054367652,0.31789469899446116,100.4716115981886,33.701046162562704,,,,,
DC-A,SRVCHP_SRORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SRORC_R245fa_R227ea.csv,0.4755638361052824,29.34413893386707,0.2931598551810286,117.05273664610353,52.14914239863242,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.47669604738510896,13.661910493362825,0.3366798933678284,97.8220401509091,24.191421839215923,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.47746886848593717,17.27570718507416,0.3238805142460468,100.36931270600584,30.587180770582364,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.47835515994450245,30.00934630865728,0.2869066600031706,117.90340647297162,53.34131406709454,,,,,
DC-A,SRVCHP_SRORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SRORC_R245fa_R227ea.csv,0.4800353960588289,20.723703652715148,0.3062352533974791,110.90176090379083,36.827947413375426,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.48115743577536446,25.543890237866066,0.29370686801674833,114.08645804151537,45.38788868376244,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.4833433343665027,8.700011520534703,0.33596312916175913,96.26689498278789,15.422772548630885,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.48386492640074524,27.457188412578862,0.2926810686309371,116.39522264293115,48.80974820553405,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.4849586483612657,29.407926421749483,0.2655164435495041,116.04348599178292,52.23720954184209,,,,,
