wp,cfg,fluid_hp,fluid_he,seed,run_id,certified_normalized_hypervolume,eta_p2p_maximum,energy_density_thermal_maximum,exergy_efficiency_maximum,igd_plus_to_union
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,17,S4_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed017_20260720T095135Z,0.1065744743533246,0.4981510045580991,33.77871845053647,0.4202060204212073,0.0012726296773698767
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,42,S4_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260720T095135Z,0.10666158519565132,0.4997843382834932,33.77631981816029,0.4216362962590133,0.0018552220630534066
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,73,S4_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed073_20260720T095135Z,0.10581132356138655,0.497515100212077,33.78584580678526,0.4191910635013985,0.0022986606169286745
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,101,S4_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed101_20260720T095135Z,0.1067883709358858,0.5008661077394917,33.77043798993673,0.4221076427381918,0.0023273161870476663
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,202,S4_DCB_SRVCHP-SRORC_Cyclopentane_R365MFC_seed202_20260720T095135Z,0.10693939264159416,0.5009145836727105,33.78299996083724,0.4233160888300745,0.0015157977608539698
DC-B,SRVCHP_SRORC,R245fa,R227EA,17,S4_DCB_SRVCHP-SRORC_R245fa_R227EA_seed017_20260721T031641Z,0.08191664179714742,0.3974251326362727,33.86213029510125,0.3247901454189122,0.0010983697314852633
DC-B,SRVCHP_SRORC,R245fa,R227EA,42,S4_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260721T031641Z,0.08115518504401117,0.391955230401143,33.86361931130763,0.3248920741059048,0.001026695443966803
DC-B,SRVCHP_SRORC,R245fa,R227EA,73,S4_DCB_SRVCHP-SRORC_R245fa_R227EA_seed073_20260721T031641Z,0.08156404694680461,0.3981318948560208,33.86366755133319,0.3245183561604432,0.0014516446731756285
DC-B,SRVCHP_SRORC,R245fa,R227EA,101,S4_DCB_SRVCHP-SRORC_R245fa_R227EA_seed101_20260720T095135Z,0.08128317471689084,0.3976393193440151,33.85864410427554,0.3225218994658676,0.0018943031356070117
DC-B,SRVCHP_SRORC,R245fa,R227EA,202,S4_DCB_SRVCHP-SRORC_R245fa_R227EA_seed202_20260721T031641Z,0.08149629485156348,0.3978504860357186,33.8640380703369,0.3240595211729823,0.001181843266529895
DC-B,SRVCHP_SRORC,R600,R227EA,17,S4_DCB_SRVCHP-SRORC_R600_R227EA_seed017_20260720T095135Z,0.08140371180501733,0.3946165219439694,33.86589313079628,0.3238997555695324,0.0014200692532707554
DC-B,SRVCHP_SRORC,R600,R227EA,42,S4_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260720T095135Z,0.08037137494712127,0.3849114440862097,33.863181381708095,0.3208706763274709,0.002263639670628757
DC-B,SRVCHP_SRORC,R600,R227EA,73,S4_DCB_SRVCHP-SRORC_R600_R227EA_seed073_20260720T095135Z,0.08142363360912738,0.3946901593384773,33.85985925867146,0.3243424683502954,0.0019002342818619405
DC-B,SRVCHP_SRORC,R600,R227EA,101,S4_DCB_SRVCHP-SRORC_R600_R227EA_seed101_20260720T095135Z,0.0820893839408113,0.3963387740762831,33.864098536761986,0.325626415438343,0.002034025625473564
DC-B,SRVCHP_SRORC,R600,R227EA,202,S4_DCB_SRVCHP-SRORC_R600_R227EA_seed202_20260720T095135Z,0.08174428341550517,0.3976594960937524,33.86439290183019,0.3234972919362108,0.0015113162077936512
DC-B,SRVCHP_SRORC,R601a,R227EA,17,S4_DCB_SRVCHP-SRORC_R601a_R227EA_seed017_20260720T095135Z,0.08378508684802827,0.4057901329371685,33.864793530240554,0.3313993032578475,0.0007467414333048986
DC-B,SRVCHP_SRORC,R601a,R227EA,42,S4_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260721T031641Z,0.08268002984436962,0.4020924482442033,33.86283896658878,0.3301096338230055,0.002002241701366921
DC-B,SRVCHP_SRORC,R601a,R227EA,73,S4_DCB_SRVCHP-SRORC_R601a_R227EA_seed073_20260720T095135Z,0.08311156146100719,0.4017155458113685,33.86428729213032,0.3312321804839046,0.0015985181290065445
DC-B,SRVCHP_SRORC,R601a,R227EA,101,S4_DCB_SRVCHP-SRORC_R601a_R227EA_seed101_20260720T095135Z,0.08377534105023518,0.4078722151664731,33.861625529265844,0.3307676532285299,0.0018339194866416248
DC-B,SRVCHP_SRORC,R601a,R227EA,202,S4_DCB_SRVCHP-SRORC_R601a_R227EA_seed202_20260720T095135Z,0.08282278758038827,0.407155476989836,33.85888493884462,0.3292498076800059,0.0032101564749649424
DC-C,SBVCHP_SBORC,Acetone,R236fa,17,S4_DCC_SBVCHP-SBORC_Acetone_R236fa_seed017_20260720T095135Z,0.15194523072032246,0.7826239206177633,39.92582780352348,0.3454768423599533,0.002844390587081172
DC-C,SBVCHP_SBORC,Acetone,R236fa,42,S4_DCC_SBVCHP-SBORC_Acetone_R236fa_seed042_20260720T095135Z,0.15246758552500098,0.7895810260231003,39.9257576168649,0.3457658814047496,0.0021969323616022594
DC-C,SBVCHP_SBORC,Acetone,R236fa,73,S4_DCC_SBVCHP-SBORC_Acetone_R236fa_seed073_20260720T095135Z,0.15205391441699548,0.7638449731623883,39.92562382818869,0.3455116362649751,0.0019274530176935343
DC-C,SBVCHP_SBORC,Acetone,R236fa,101,S4_DCC_SBVCHP-SBORC_Acetone_R236fa_seed101_20260721T031641Z,0.15170384749340718,0.7883101079681344,39.92510978702594,0.3458182658582329,0.0031031742896969034
DC-C,SBVCHP_SBORC,Acetone,R236fa,202,S4_DCC_SBVCHP-SBORC_Acetone_R236fa_seed202_20260721T031641Z,0.15200111574481692,0.7884627022678119,39.925472238363554,0.3451534423144408,0.0025104334319625866
DC-C,SBVCHP_SBORC,Acetone,R245fa,17,S4_DCC_SBVCHP-SBORC_Acetone_R245fa_seed017_20260720T095135Z,0.16119607471826536,0.7920280350429166,39.91972029884068,0.3697658210465107,0.004287256043754345
DC-C,SBVCHP_SBORC,Acetone,R245fa,42,S4_DCC_SBVCHP-SBORC_Acetone_R245fa_seed042_20260720T095135Z,0.16204280977046348,0.7362855041342441,39.91966601941317,0.3718804026576204,0.002554279775264781
DC-C,SBVCHP_SBORC,Acetone,R245fa,73,S4_DCC_SBVCHP-SBORC_Acetone_R245fa_seed073_20260720T095135Z,0.16293460341347651,0.7730813388166288,39.91956331966175,0.3712879691425275,0.0020515228347738356
DC-C,SBVCHP_SBORC,Acetone,R245fa,101,S4_DCC_SBVCHP-SBORC_Acetone_R245fa_seed101_20260720T095135Z,0.16119198149397548,0.7323712456908066,39.91880023861419,0.3714607622059036,0.0036282180324547224
DC-C,SBVCHP_SBORC,Acetone,R245fa,202,S4_DCC_SBVCHP-SBORC_Acetone_R245fa_seed202_20260721T031641Z,0.16118738296772167,0.746356495776617,39.9186522154068,0.3699257487244478,0.002918150352274378
DC-C,SBVCHP_SBORC,Acetone,R600,17,S4_DCC_SBVCHP-SBORC_Acetone_R600_seed017_20260720T095135Z,0.16015954953537415,0.7921458471331788,39.91942756301877,0.3692680190179633,0.0036645773417180506
DC-C,SBVCHP_SBORC,Acetone,R600,42,S4_DCC_SBVCHP-SBORC_Acetone_R600_seed042_20260720T095135Z,0.15955128914207276,0.74940870090403,39.91732865964766,0.3693131033632846,0.00347772921535371
DC-C,SBVCHP_SBORC,Acetone,R600,73,S4_DCC_SBVCHP-SBORC_Acetone_R600_seed073_20260721T031641Z,0.16072431451138128,0.7556130861864974,39.91864149561834,0.3706752003248053,0.0026390670624670807
DC-C,SBVCHP_SBORC,Acetone,R600,101,S4_DCC_SBVCHP-SBORC_Acetone_R600_seed101_20260720T095135Z,0.1609098943633487,0.7945839480544831,39.918250217838775,0.3701693930738145,0.002392816157653913
